repo,file,total_ccn,max_ccn,function_count,total_nloc,n_revs,hotspot_score
posx-frido-admin,src/routes/fallback-orders/fallback-order-list/components/fallback-order-list-table/fallback-order-list-table.tsx,74,16,32,505,6,444
posx-mokobara-store,src/pages/inventory/internal-stock-transfer.tsx,74,64,10,248,6,444
posx-mokobara-store,src/pages/reports/sales-report.tsx,37,10,13,324,12,444
posx-comet-backend,src/workflows/campaign-coupon/steps/calculate-coupon-discount-step.ts,21,15,5,87,21,441
posx-frido-b2b-admin,src/hooks/api/products.tsx,110,3,54,443,4,440
posx-ugaoo-store,src/pages/orders/details/payment-details.tsx,40,11,16,202,11,440
posx-ugaoo-admin,src/routes/orders/order-detail/components/order-summary-section/order-summary-section.tsx,219,60,47,937,2,438
posx-comet-store,src/components/app/home/promotional-coupon/index.tsx,36,5,15,166,12,432
posx-eume-backend,src/api/admin/order-detail/export/route.ts,24,14,5,96,18,432
posx-frido-b2b-store,src/components/app/product/cart-panel.tsx,54,17,12,218,8,432
posx-frido-store,src/pages/online-orders/details/order-details.tsx,36,16,11,222,12,432
posx-ugaoo-store,src/components/filters.tsx,54,15,27,276,8,432
posx-eume-store,src/components/app/home/retail-coupon/index.tsx,43,9,19,232,10,430
posx-comet-store,src/components/app/loss-of-sales/loss-of-sales-table.tsx,39,7,12,166,11,429
posx-eume-store,src/pages/return-and-exchange/index.tsx,39,33,6,132,11,429
posx-eume-store,src/pages/orders/details/order-details.tsx,39,25,9,157,11,429
posx-frido-store,src/pages/products/index.tsx,33,8,20,199,13,429
posx-mokobara-backend,src/modules/qwikcilver/service.ts,39,17,11,173,11,429
posx-mokobara-backend,src/workflows/pos-inventory/steps/bulk-upsert-store-inventory-step.ts,61,59,3,118,7,427
posx-demo-store,src/components/app/product/AddToCartModal.tsx,213,12,74,616,2,426
posx-comet-store,src/components/app/home/home-cart-panel.tsx,53,21,11,156,8,424
posx-eume-store,src/components/app/payments/shared/order-transactions-table.tsx,53,9,18,231,8,424
posx-ugaoo-admin,src/routes/store-details/store-details-create/components/payment-create-form/payment-create-form.tsx,47,13,13,261,9,423
posx-comet-store,src/store/reducers/order.reducer.ts,35,1,35,133,12,420
